Combination,Mean
"((97.0, 97.375), (98.125000003, 98.500000003), (99.250000006, 99.625000006), (100.857142858, 101.285714285))",99.002232145125
"((97.0, 97.375), (98.125000003, 98.500000003), (99.250000006, 99.625000006), (101.285714286, 101.714285714))",99.10937500225
"((97.0, 97.375), (98.125000003, 98.500000003), (99.250000006, 99.625000006), (101.714285715, 102.142857143))",99.2165178595
"((97.0, 97.375), (98.125000003, 98.500000003), (99.250000006, 99.625000006), (102.142857144, 102.571428571))",99.323660716625
"((97.0, 97.375), (98.125000003, 98.500000003), (99.250000006, 99.625000006), (102.571428572, 103.0))",99.43080357375001
"((97.0, 97.375), (98.125000003, 98.500000003), (99.625000007, 100.0), (100.000000001, 100.428571428))",98.88169643025
"((97.0, 97.375), (98.125000003, 98.500000003), (99.625000007, 100.0), (100.428571429, 100.857142857))",98.988839287375
"((97.0, 97.375), (98.125000003, 98.500000003), (99.625000007, 100.0), (100.857142858, 101.285714285))",99.0959821445
"((97.0, 97.375), (98.125000003, 98.500000003), (99.625000007, 100.0), (101.285714286, 101.714285714))",99.203125001625
"((97.0, 97.375), (98.125000003, 98.500000003), (99.625000007, 100.0), (101.714285715, 102.142857143))",99.310267858875
"((97.0, 97.375), (98.125000003, 98.500000003), (99.625000007, 100.0), (102.142857144, 102.571428571))",99.417410716
"((97.0, 97.375), (98.125000003, 98.500000003), (99.625000007, 100.0), (102.571428572, 103.0))",99.52455357312499
"((97.0, 97.375), (98.125000003, 98.500000003), (100.000000001, 100.428571428), (100.428571429, 100.857142857))",99.089285715125
"((97.0, 97.375), (98.125000003, 98.500000003), (100.000000001, 100.428571428), (100.857142858, 101.285714285))",99.19642857225
"((97.0, 97.375), (98.125000003, 98.500000003), (100.000000001, 100.428571428), (101.285714286, 101.714285714))",99.303571429375
"((97.0, 97.375), (98.125000003, 98.500000003), (100.000000001, 100.428571428), (101.714285715, 102.142857143))",99.410714286625
"((97.0, 97.375), (98.125000003, 98.500000003), (100.000000001, 100.428571428), (102.142857144, 102.571428571))",99.51785714375
"((97.0, 97.375), (98.125000003, 98.500000003), (100.000000001, 100.428571428), (102.571428572, 103.0))",99.62500000087499
"((97.0, 97.375), (98.125000003, 98.500000003), (100.428571429, 100.857142857), (100.857142858, 101.285714285))",99.303571429375
"((97.0, 97.375), (98.125000003, 98.500000003), (100.428571429, 100.857142857), (101.285714286, 101.714285714))",99.4107142865
"((97.0, 97.375), (98.125000003, 98.500000003), (100.428571429, 100.857142857), (101.714285715, 102.142857143))",99.51785714374999
"((97.0, 97.375), (98.125000003, 98.500000003), (100.428571429, 100.857142857), (102.142857144, 102.571428571))",99.62500000087499
"((97.0, 97.375), (98.125000003, 98.500000003), (100.428571429, 100.857142857), (102.571428572, 103.0))",99.732142858
"((97.0, 97.375), (98.125000003, 98.500000003), (100.857142858, 101.285714285), (101.285714286, 101.714285714))",99.51785714362501
"((97.0, 97.375), (98.125000003, 98.500000003), (100.857142858, 101.285714285), (101.714285715, 102.142857143))",99.625000000875
"((97.0, 97.375), (98.125000003, 98.500000003), (100.857142858, 101.285714285), (102.142857144, 102.571428571))",99.732142858
"((97.0, 97.375), (98.125000003, 98.500000003), (100.857142858, 101.285714285), (102.571428572, 103.0))",99.83928571512502
"((97.0, 97.375), (98.125000003, 98.500000003), (101.285714286, 101.714285714), (101.714285715, 102.142857143))",99.73214285799999
"((97.0, 97.375), (98.125000003, 98.500000003), (101.285714286, 101.714285714), (102.142857144, 102.571428571))",99.83928571512499
"((97.0, 97.375), (98.125000003, 98.500000003), (101.285714286, 101.714285714), (102.571428572, 103.0))",99.94642857225
"((97.0, 97.375), (98.125000003, 98.500000003), (101.714285715, 102.142857143), (102.142857144, 102.571428571))",99.946428572375
"((97.0, 97.375), (98.125000003, 98.500000003), (101.714285715, 102.142857143), (102.571428572, 103.0))",100.05357142950001
"((97.0, 97.375), (98.125000003, 98.500000003), (102.142857144, 102.571428571), (102.571428572, 103.0))",100.160714286625
"((97.0, 97.375), (98.500000004, 98.875000004), (98.875000005, 99.250000005), (99.250000006, 99.625000006))",98.59375000375
"((97.0, 97.375), (98.500000004, 98.875000004), (98.875000005, 99.250000005), (99.625000007, 100.0))",98.687500003125
"((97.0, 97.375), (98.500000004, 98.875000004), (98.875000005, 99.250000005), (100.000000001, 100.428571428))",98.787946430875
"((97.0, 97.375), (98.500000004, 98.875000004), (98.875000005, 99.250000005), (100.428571429, 100.857142857))",98.89508928800001
"((97.0, 97.375), (98.500000004, 98.875000004), (98.875000005, 99.250000005), (100.857142858, 101.285714285))",99.002232145125
"((97.0, 97.375), (98.500000004, 98.875000004), (98.875000005, 99.250000005), (101.285714286, 101.714285714))",99.10937500225
"((97.0, 97.375), (98.500000004, 98.875000004), (98.875000005, 99.250000005), (101.714285715, 102.142857143))",99.2165178595
"((97.0, 97.375), (98.500000004, 98.875000004), (98.875000005, 99.250000005), (102.142857144, 102.571428571))",99.323660716625
"((97.0, 97.375), (98.500000004, 98.875000004), (98.875000005, 99.250000005), (102.571428572, 103.0))",99.43080357375001
"((97.0, 97.375), (98.500000004, 98.875000004), (99.250000006, 99.625000006), (99.625000007, 100.0))",98.78125000337499
"((97.0, 97.375), (98.500000004, 98.875000004), (99.250000006, 99.625000006), (100.000000001, 100.428571428))",98.881696431125
"((97.0, 97.375), (98.500000004, 98.875000004), (99.250000006, 99.625000006), (100.428571429, 100.857142857))",98.98883928825
"((97.0, 97.375), (98.500000004, 98.875000004), (99.250000006, 99.625000006), (100.857142858, 101.285714285))",99.095982145375
"((97.0, 97.375), (98.500000004, 98.875000004), (99.250000006, 99.625000006), (101.285714286, 101.714285714))",99.2031250025
"((97.0, 97.375), (98.500000004, 98.875000004), (99.250000006, 99.625000006), (101.714285715, 102.142857143))",99.31026785975
"((97.0, 97.375), (98.500000004, 98.875000004), (99.250000006, 99.625000006), (102.142857144, 102.571428571))",99.417410716875
"((97.0, 97.375), (98.500000004, 98.875000004), (99.250000006, 99.625000006), (102.571428572, 103.0))",99.52455357400001
"((97.0, 97.375), (98.500000004, 98.875000004), (99.625000007, 100.0), (100.000000001, 100.428571428))",98.9754464305
"((97.0, 97.375), (98.500000004, 98.875000004), (99.625000007, 100.0), (100.428571429, 100.857142857))",99.08258928762501
"((97.0, 97.375), (98.500000004, 98.875000004), (99.625000007, 100.0), (100.857142858, 101.285714285))",99.18973214475001
"((97.0, 97.375), (98.500000004, 98.875000004), (99.625000007, 100.0), (101.285714286, 101.714285714))",99.29687500187501
"((97.0, 97.375), (98.500000004, 98.875000004), (99.625000007, 100.0), (101.714285715, 102.142857143))",99.404017859125
"((97.0, 97.375), (98.500000004, 98.875000004), (99.625000007, 100.0), (102.142857144, 102.571428571))",99.51116071625
"((97.0, 97.375), (98.500000004, 98.875000004), (99.625000007, 100.0), (102.571428572, 103.0))",99.61830357337502
"((97.0, 97.375), (98.500000004, 98.875000004), (100.000000001, 100.428571428), (100.428571429, 100.857142857))",99.18303571537501
"((97.0, 97.375), (98.500000004, 98.875000004), (100.000000001, 100.428571428), (100.857142858, 101.285714285))",99.29017857250001
"((97.0, 97.375), (98.500000004, 98.875000004), (100.000000001, 100.428571428), (101.285714286, 101.714285714))",99.39732142962501
"((97.0, 97.375), (98.500000004, 98.875000004), (100.000000001, 100.428571428), (101.714285715, 102.142857143))",99.504464286875
"((97.0, 97.375), (98.500000004, 98.875000004), (100.000000001, 100.428571428), (102.142857144, 102.571428571))",99.611607144
"((97.0, 97.375), (98.500000004, 98.875000004), (100.000000001, 100.428571428), (102.571428572, 103.0))",99.71875000112502
"((97.0, 97.375), (98.500000004, 98.875000004), (100.428571429, 100.857142857), (100.857142858, 101.285714285))",99.39732142962501
